message_date,sender,message_text,service_type
2025-05-15 18:10:38,Me,You owe me a bourbon,iMessage
2025-05-15 18:10:43,Me,"Old fashionediI
NSDictionary",iMessage
2025-05-15 18:10:56,Me,"Gotta go do the dad thing, so if I miss anything, I’ll text back soon as we get the kids down.",iMessage
2025-05-15 20:19:59,Thad Norman,I’ve got a whole bottle with your name on it,iMessage
2025-05-16 07:38:44,Me,"Mornin’ — don’t forget to send me the site credential for your website so I can install the plug-in that I’m going to use and sort of walk you through what my plan is, just so you are aligned. 

Also, whenever you get server access, if you can share that credential with me as well so I can do a dry run for migration.",iMessage
2025-05-16 07:40:43,Thad Norman,,iMessage
2025-05-16 07:44:37,Me,,iMessage
2025-05-16 07:44:47,Me,"Once that’s done, we will remove the plug-in from the original website",iMessage
2025-05-16 07:45:01,Me,I’ll do this one at a time so that that plug-in is not active for any longer than the transfer takes.,iMessage
2025-05-16 07:45:25,Me,,iMessage
2025-05-16 07:48:43,Me,"I suggest using Cloudflare for DNS management. There are several other benefits to Cloudflare, including security and performance perks, but for this scenario, Cloudflare accelerates DNS migration and is a much better manager, in my opinion, of DNS records, compared to using cPanel. So we’ll need to get an account set up for you there.",iMessage
2025-05-16 07:55:58,Me,"Also — know I’m blowing you up so don’t feel like you need to respond to all of this immediately. Just offloading thoughts before I get caught up in my normal morning shit storm.

How do you go about managing local listings (local SEO) for all of your shops? In terms of just all of the online listing services that are out there, managing hours of operation, holiday hours, address and phone number updates etc. — online directory services en masse such as Yelp, Google Business Profile pages, YP, etc.? Does someone handle that for you or do you pay for a service?",iMessage
2025-05-16 08:08:17,Thad Norman,I don’t manage them at all unless they pay for SEO services,iMessage
2025-05-16 08:08:58,Thad Norman,"Sounds good, I’ve heard of it but haven’t personally used it myself",iMessage
2025-05-16 08:10:10,Thad Norman,,iMessage
2025-05-16 08:10:49,Me,Oh so now you want to pedal to the floor carefully!?,iMessage
2025-05-16 08:45:58,Thad Norman,"You know you don’t just stomp on it, you gently roll into it when you’re dealing with big horsepower! Lol",iMessage
2025-05-16 08:46:14,Me,"Laughed at “You know you don’t just stomp on it, you gently roll into it when you’re dealing with big horsepower! Lol”",iMessage
2025-05-16 08:46:27,Thad Norman,,iMessage
2025-05-16 08:46:39,Me,I’ve gotten into too many sports cars with that lead foot. Time for you to trust me. 😆,iMessage
2025-05-16 08:47:21,Me,Ok I’m about to go into a couple calls w/ contractors to prep for a 2p but I’ll take a look at it ASAP.,iMessage
2025-05-16 08:48:05,Thad Norman,,iMessage
2025-05-16 08:49:03,Me,"Sounds good. If I get in there it would just be Read Only type stuff. We’ll have a plan for migration and a list of which ones need to be prioritized, how many we want to do and then stop and level up before we move into another batch. Etc. We’ll try to make this a controlled dive.",iMessage
2025-05-16 09:20:19,Thad Norman,Do you have a second before this call?,iMessage
2025-05-16 09:21:57,Me,I’m wrapping a phone call right now,iMessage
2025-05-16 09:22:03,Thad Norman,,iMessage
2025-05-16 09:49:09,Thad Norman,)https://www.bluehost.com/my-account/login,iMessage
2025-05-16 09:49:09,Thad Norman,"Username:
177595948
PW:
GYErhL5GhT9N.27
PIN:
185072iI
NSDictionary",iMessage
2025-05-16 09:52:46,Me,,iMessage
2025-05-16 09:52:53,Me,Send me that verification,iMessage
2025-05-16 09:53:00,Thad Norman,138864,iMessage
2025-05-16 09:54:15,Me,That’s fine,iMessage
2025-05-16 09:56:29,Me,I’m in,iMessage
2025-05-16 10:04:14,Me,,iMessage
2025-05-16 10:04:30,Thad Norman,"Got for it, do whatever you need to do",iMessage
2025-05-16 10:18:14,Me,,iMessage
2025-05-16 10:18:20,Me,,iMessage
2025-05-16 10:33:59,Thad Norman,I didn’t get one yet,iMessage
2025-05-16 10:34:53,Thad Norman,"I do have a couple extra domains, all of mine are in Namecheap. Add your Peak One email as delegate access?",iMessage
2025-05-16 10:35:02,Me,Ok I’m thinking velocityhosting.tech or something easy. This won’t be client facing.,iMessage
2025-05-16 10:45:06,Me,It’s probably quicker than transferring your old domains in.,iMessage
2025-05-16 10:45:42,Me,,iMessage
2025-05-16 10:49:08,Thad Norman,"One second, finishing up a call",iMessage
2025-05-16 11:03:59,Me,Will prob be a few hours before I can get back with you via phone. Can text though,iMessage
2025-05-16 11:05:57,Thad Norman,Can I call you back? I’m on the other line right now,iMessage
2025-05-16 11:06:22,Me,All good my contractor isn’t in this call yet so I had a few mins.,iMessage
2025-05-16 11:32:26,Thad Norman,"Website: 
https://protectwithphantom.com/wp-admin/
thad
#z1QuYxNj%XkgjQ*0DdmfYR)iI
NSDictionary",iMessage
2025-05-16 11:42:31,Thad Norman,,iMessage
2025-05-16 11:43:37,Me,Got it.,iMessage
2025-05-16 11:47:17,Thad Norman,,iMessage
2025-05-16 12:35:10,Thad Norman,,iMessage
2025-05-16 12:35:12,Thad Norman,+https://www.youtube.com/watch?v=WtYkTurJyVk,iMessage
2025-05-16 13:39:29,Me,There’s a specific plugin called wp-migrate I need to install for you,iMessage
2025-05-16 13:39:42,Me,I’ll drop it on this website first,iMessage
2025-05-16 13:40:28,Thad Norman,"K, I’m doing full file exports for now. Can we work with those on these other sites to test out that avenue?",iMessage
2025-05-16 14:05:52,Me,,iMessage
2025-05-16 14:06:13,Me,None of this is a technical blocker for me. I’m just trying to avoid blowing your cover.,iMessage
2025-05-16 14:06:42,Me,"I’m on my 2p but send me the wp-admin, url and password for the other sites you want me to test",iMessage
2025-05-16 14:57:46,Thad Norman,,iMessage
2025-05-16 14:58:09,Thad Norman,"I just want to test that one for now, I’m downloading all the files for the others now",iMessage
2025-05-16 14:59:48,Me,"Exporting using WordPress’ export tool won’t give you a complete website. Just pages, meta, content, etc.",iMessage
2025-05-16 14:59:56,Me,"But your database will be missing a ton of stuff (theme files, any custom fields, plugin data)",iMessage
2025-05-16 15:00:04,Me,You’re going to need to use a migration plugin,iMessage
2025-05-16 15:00:30,Thad Norman,"Fair enough, first time actually doing this somewhat in the trenches on it",iMessage
2025-05-16 15:24:21,Me,,iMessage
2025-05-16 15:24:24,Me,Can you send this,iMessage
2025-05-16 15:25:24,Thad Norman,I’m looking for it,iMessage
2025-05-16 17:34:10,Thad Norman,"I never saw anything come through, I’ll set you up a Velocity email and add you as an admin to the site",iMessage
2025-05-17 11:11:30,Thad Norman,,iMessage
2025-05-17 11:17:55,Me,"All good — I was on standby yesterday waiting for the 2FA code from your “Authentication App”. Based on the screenshot, the 2FA code was set up in a code generator such as Google Authenticator (app), or in Apple’s Password manager (app) that you or someone else owns. Not an email or SMS authentication code. Which explains why you never received anything. Can you double check to see if that code was stored in one of the two apps?

I just need admin access of some sort and then you can turn me loose. A velocity email is fine. But you finding what app you set up the 2FA code in would be ideal as to not create a new Admin user. Doesn’t matter to me either way. 

Once in, my plan is I will install WP-Migrate, and screen record my process for you to see how I configure it and go about it. I’ll send the link to that video to you so you can see if you’re comfortable replicating those steps across the remainder of the sites. I can help you with as many as I can but if you need to get started ASAP, then this is the best way.",iMessage
2025-05-17 11:20:04,Thad Norman,"Emphasized “All good — I was on standby yesterday waiting for the 2FA code from your “Authentication App”. Based on the screenshot, the 2FA code was set up in a code generator such as Google Authenticator (app), or in Apple’s Password manager (app) that you or someone else owns. Not an email or SMS authentication code. Which explains why you never received anything. Can you double check to see if that code was stored in one of the two apps?

I just need admin access of some sort and then you can turn me loose. A velocity email is fine. But you finding what app you set up the 2FA code in would be ideal as to not create a new Admin user. Doesn’t matter to me either way. 

Once in, my plan is I will install WP-Migrate, and screen record my process for you to see how I configure it and go about it. I’ll send the link to that video to you so you can see if you’re comfortable replicating those steps across the remainder of the sites. I can help you with as many as I can but if you need to get started ASAP, then this is the best way.”",iMessage
2025-05-17 11:20:20,Me,`https://support.apple.com/guide/iphone/automatically-fill-in-verification-codes-ipha6173c19f/ios,iMessage
2025-05-17 11:20:20,Me,"Here is the documentation for Apple’s Passwords app which is the first place I would check. Look for the URL for the website that you sent me and then go into the password for it and look below that password. There should be a code — if it’s not there, then it’s going to be in probably Google authenticator app or some other large major authentication app.",iMessage
2025-05-17 11:20:44,Thad Norman,,iMessage
2025-05-17 11:21:22,Me,,iMessage
2025-05-17 11:21:44,Me,,iMessage
2025-05-17 11:22:49,Me,,iMessage
2025-05-17 11:29:47,Me,Hate to rush you but I’m here if you can get it to me in the next 60 seconds,iMessage
2025-05-17 11:30:25,Me,,iMessage
2025-05-17 11:32:16,Thad Norman,We just got home from grabbing lunch just give me a minute,iMessage
2025-05-17 11:34:04,Thad Norman,Try this:,iMessage
2025-05-17 11:34:06,Thad Norman,487 357,iMessage
2025-05-17 11:34:38,Me,Got in!,iMessage
2025-05-17 11:34:41,Thad Norman,Sweet,iMessage
2025-05-17 11:34:46,Thad Norman,I’m setting up your email now,iMessage
2025-05-17 11:35:03,Me,Alright I’m in. Not sure I need the login but feel free to make it anyway.,iMessage
2025-05-17 11:35:35,Me,Heading out. Will give you an update when I get time to dig in.,iMessage
2025-05-17 11:35:40,Thad Norman,"Will do, are you alright with doing that video today? I might start first thing tomorrow and do a full attack on a Sunday",iMessage
2025-05-17 11:35:41,Me,,iMessage
2025-05-17 11:36:30,Me,I’ll see what I can do!,iMessage
2025-05-17 11:36:51,Me,Once the kids go down will be my best chance. We have two 3yo bday parties this afternoon lol.,iMessage
2025-05-17 11:37:23,Me,,iMessage
2025-05-17 11:38:46,Me,How exactly is he restricting access?,iMessage
2025-05-17 11:39:24,Thad Norman,He’s changing my user and Brittney’s users to Editor only,iMessage
2025-05-17 11:39:40,Thad Norman,I can backdoor it by taking over the Support email since that’s used everywhere,iMessage
2025-05-17 11:39:52,Me,I don’t like this dude lol,iMessage
2025-05-17 11:40:20,Me,As long as we have some sort of account with admin and the ability to install plugins and make backups then we are home free.,iMessage
2025-05-17 11:40:21,Thad Norman,,iMessage
2025-05-17 11:40:25,Me,,iMessage
2025-05-17 11:40:56,Me,I do this in my sleep. You’re working with the best.,iMessage
2025-05-17 11:40:58,Thad Norman,,iMessage
2025-05-17 11:41:03,Me,Perfect,iMessage
2025-05-17 11:41:26,Me,If only you knew the Pirates of the Caribbean style takeovers I have had to do over the past few years,iMessage
2025-05-17 11:42:11,Thad Norman,,iMessage
2025-05-17 11:43:05,Me,,iMessage
2025-05-17 11:43:20,Thad Norman,Laughed at an image,iMessage
2025-05-17 11:46:39,Thad Norman,Google Workspace email for the websites going forward:,iMessage
2025-05-17 11:46:41,Thad Norman,hosting@velocity-seo.com,iMessage
2025-05-17 11:46:46,Thad Norman,Mh=bh4N8ZQLu4dM%,iMessage
2025-05-17 11:46:53,Me,,iMessage
2025-05-17 11:47:50,Me,Is that for logging into the website also,iMessage
2025-05-17 11:49:54,Thad Norman,"Shit, I’ll set that up now too",iMessage
2025-05-17 11:53:25,Thad Norman,(https://protectwithphantom.com/wp-admin/,iMessage
2025-05-17 11:53:25,Thad Norman,"UN: 
hosting
PW:
cKY02L)XH%$XePF6E)rqL#aV",iMessage
2025-05-17 14:14:01,Me,Can you send me that code that was delivered via text,iMessage
2025-05-17 15:10:18,Thad Norman,Your Bluehost verification code is: 960032,iMessage
2025-05-17 15:11:02,Me,Lol 10 minute expiration and not at my computer.,iMessage
2025-05-17 15:11:31,Me,I need you to go into bluehost and purchase velocityhosting.tech using your account,iMessage
2025-05-17 15:12:07,Me,"I was going to try and do it earlier, but not gonna be at the computer for a while more today. I did pull the back up off of that site you shared with me so I have that zipped up and ready to drop on the server, but we need to have a domain in order to do that.",iMessage
2025-05-17 15:12:16,Me,No text content],iMessage
2025-05-17 15:12:44,Me,"If you purchase that domain, I can handle hooking it up either tonight or tomorrow, and I should be able to handle the rest.",iMessage
2025-05-17 15:16:05,Thad Norman,,iMessage
2025-05-17 15:16:49,Me,,iMessage
2025-05-17 15:19:02,Me,"Then I can import this website’s .zip export file and test out the import on a subdomain. If everything looks good then I’ll record what I did on another site, we can make the DNS changes to point to your new server, and we can get the rest of this migration assembly line going 🎉",iMessage
2025-05-17 15:19:42,Thad Norman,,iMessage
2025-05-17 15:20:12,Thad Norman,,iMessage
2025-05-17 16:17:28,Thad Norman,,iMessage
2025-05-17 16:27:38,Me,Let me look into that. The IP address will probably point to Bluehost,iMessage
2025-05-17 16:27:45,Me,But nothing more than that,iMessage
2025-05-17 16:28:18,Me,,iMessage
2025-05-17 16:28:54,Thad Norman,Correct,iMessage
2025-05-17 16:29:20,Me,Where are those DNS records hosted? Do I have access?,iMessage
2025-05-17 16:33:24,Thad Norman,,iMessage
2025-05-17 17:29:06,Thad Norman,"Purchased this domain, should be good now",iMessage
2025-05-17 17:36:00,Me,,iMessage
2025-05-18 07:00:00,Me,Perfect will look at it this morning.,iMessage
